V1,V2
gene1314,101718828
gene1315,101719170
gene1316,101722110
gene1317,101720331
gene1318,101719993
gene1319,110350732
gene1320,101722920
gene1321,101723276
gene1322,101725189
gene1323,101706292
gene1324,110350738
gene1325,110350739
gene1326,106009616
gene1327,106009780
gene1328,101706668
gene1329,101725445
gene1330,101707035
gene1331,110350129
gene1332,101707394
gene1333,101725830
gene1334,101726553
gene1335,101696418
gene1336,110350667
gene1337,101707748
gene1338,101708119
gene1339,110350902
gene1340,110350899
gene1341,110350900
gene1342,101696776
gene1343,101698133
gene1344,101698524
gene1345,101708812
gene1346,101698889
gene1347,101699735
gene1348,106009939
gene1349,101701654
gene1350,101701040
gene1351,101700450
gene1352,101702003
gene1353,101702345
gene1354,110350150
gene1355,110350155
gene1356,101703169
gene1357,101704725
gene1358,101705065
gene1359,101705948
gene1360,101706289
gene1361,101706667
gene1362,110350157
gene1363,110350162
gene1364,101707256
gene1365,110350165
gene1366,110350166
gene1367,110350161
gene1368,110350163
gene1369,106009947
gene1370,101709052
gene1371,106009946
gene1372,110350632
gene1373,101709653
gene1374,101709995
gene1375,101710612
gene1376,110350182
gene1377,101711207
gene1378,106009950
gene1379,106009949
gene1380,101712075
gene1381,101712638
gene1382,101709542
gene1383,101709891
gene1384,101712889
gene1385,110350206
gene1386,101714078
gene1387,101713729
gene1388,110350672
gene1389,110350205
gene1390,110350200
gene1391,101715482
gene1392,101714903
gene1393,101716297
gene1394,101716653
gene1395,101717003
gene1396,101717343
gene1397,110350218
gene1398,101718143
gene1399,101710975
gene1400,101711340
gene1401,101718483
gene1402,101719056
gene1403,101719408
gene1404,101719759
gene1405,110350231
gene1406,101720584
gene1407,101720919
gene1408,106009782
gene1409,101712080
gene1410,101721745
gene1411,101721984
gene1412,110350237
gene1413,110350239
gene1414,101723998
gene1415,101724819
gene1416,101725704
gene1417,101725944
gene1418,110350264
gene1419,101712414
gene1420,101726669
gene1421,101696537
gene1422,101697393
gene1423,101698273
gene1424,101700321
gene1425,101699963
gene1426,101698657
gene1427,101702109
gene1428,101701753
gene1429,106009554
gene1430,106009555
gene1431,101701405
gene1432,110350285
gene1433,110350286
gene1434,101713157
gene1435,101703058
gene1436,101703766
gene1437,101703403
gene1438,101713860
gene1439,101706520
gene1440,101706155
gene1441,101705066
gene1442,101704726
gene1443,106009995
gene1444,101704134
gene1445,101707621
gene1446,101707982
gene1447,101708337
gene1448,101708932
gene1449,110350678
gene1450,101709305
gene1451,101709654
gene1452,101709996
gene1453,110350751
gene1454,101714549
gene1455,101710721
gene1456,101715269
gene1457,101711448
gene1458,110350337
gene1459,101711076
gene1460,106009556
gene1461,110350639
gene1462,101712076
gene1463,101715627
gene1464,110350753
gene1465,110350754
gene1466,101715964
gene1467,110350342
gene1468,110350680
gene1469,101716301
gene1470,101712639
gene1471,101716660
gene1472,101717006
gene1473,110343897
gene1474,101713375
gene1475,101713730
gene1476,101717346
gene1477,101714079
gene1478,101714905
gene1479,101716655
gene1480,101717902
gene1481,101718032
gene1482,101718721
gene1483,101719057
gene1484,110350755
gene1485,110350757
gene1486,101718367
gene1487,101719409
gene1488,101718724
gene1489,101719762
gene1490,101720113
gene1491,101720464
gene1492,101719412
gene1493,110350395
gene1494,101719765
gene1495,110350398
gene1496,106009641
gene1497,110350397
gene1498,110350770
gene1499,101720116
gene1500,101720821
gene1501,101721159
gene1502,101720466
gene1503,110350773
gene1504,101721521
gene1505,101721879
gene1506,101723153
gene1507,101723744
gene1508,101720823
gene1509,101721161
gene1510,110350774
gene1511,101721523
gene1512,101724698
gene1513,106009558
gene1514,106009560
gene1515,101724352
gene1516,106009561
gene1517,106009562
gene1518,106009563
gene1519,106009566
gene1520,101721881
gene1521,101725574
gene1522,101726190
gene1523,101696300
gene1524,106009567
gene1525,101696660
gene1526,101697020
gene1527,101698274
gene1528,101697903
gene1529,101700323
gene1530,101700687
gene1531,101722236
gene1532,101701301
gene1533,106009568
gene1534,106009569
gene1535,110350421
gene1536,101722589
gene1537,101702347
gene1538,101702679
gene1539,101704845
gene1540,101703405
gene1541,101704485
gene1542,101703059
gene1543,101705433
gene1544,101722924
gene1545,101706057
gene1546,101707033
gene1547,101706406
gene1548,101723280
gene1549,106009571
